,date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD,EUR,GBP,JPY,CNY
1023,2017-07-01,GBR,GBP,Britain,3.19,0.775885479,4.11143150160695,-0.22399999999999998,-0.079,0.0,0.223,0.409
1066,2018-01-01,GBR,GBP,Britain,3.19,0.72285673,4.4130459987555195,-0.16399999999999998,-0.087,0.0,0.28600000000000003,0.391
1032,2017-07-01,EUZ,EUR,Euro area,3.91,0.875695083,4.4650244998577895,-0.158,0.0,0.086,0.32799999999999996,0.531
1075,2018-01-01,EUZ,EUR,Euro area,3.95,0.816826629,4.8357874973246,-0.084,0.0,0.096,0.409,0.525
1103,2018-01-01,USA,USD,United States,5.28,1.0,5.28,0.0,0.092,0.196,0.5379999999999999,0.665
1060,2017-07-01,USA,USD,United States,5.3,1.0,5.3,0.0,0.187,0.289,0.5770000000000001,0.8170000000000001
1049,2017-07-01,SGP,SGD,Singapore,5.6,1.3777,4.06474559047688,-0.233,-0.09,-0.011000000000000001,0.209,0.39299999999999996
1092,2018-01-01,SGP,SGD,Singapore,5.8,1.32255,4.38546746814865,-0.16899999999999998,-0.09300000000000001,-0.006,0.278,0.38299999999999995
1021,2017-07-01,AUS,AUD,Australia,5.9,1.303016483,4.52795500055083,-0.146,0.013999999999999999,0.10099999999999999,0.34700000000000003,0.552
1064,2018-01-01,AUS,AUD,Australia,5.9,1.253682693,4.70613499966375,-0.109,-0.027000000000000003,0.066,0.371,0.484
1024,2017-07-01,CAN,CAD,Canada,5.97,1.2823,4.655696794821809,-0.122,0.043,0.132,0.385,0.596
1041,2017-07-01,NZL,NZD,New Zealand,6.1,1.376273053,4.43225999862689,-0.16399999999999998,-0.006999999999999999,0.078,0.319,0.519
1084,2018-01-01,NZL,NZD,New Zealand,6.2,1.374664925,4.51019000139252,-0.146,-0.067,0.022000000000000002,0.314,0.42200000000000004
1054,2017-07-01,CHE,CHF,Switzerland,6.5,0.96415,6.74168957112483,0.272,0.51,0.64,1.006,1.311
1097,2018-01-01,CHE,CHF,Switzerland,6.5,0.96085,6.76484362803768,0.281,0.39899999999999997,0.5329999999999999,0.971,1.133
