Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
292740805060001,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,187,422,2.26,1.66,2604.43,5714534.34,2799.01,5596160.02,1763.54,4180145.22,2243,4241380.49,NA
292740805060002,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,232,675,2.91,2.2,2142.53,7092788.15,2536.06,7399100.07,1345.77,4316257.39,2000.99,5108527.56,NA
292740805060003,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,193,516,2.67,2.54,7927.84,66052561.87,8500.41,65955434,4597.68,46757723.29,6250.78,53254597.03,NA
292740805060004,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,56,151,2.7,1.85,1416.16,1652318.17,1586.1,1579601.32,1044.65,1433322.76,1450.34,1401254.05,NA
292740805060005,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,245,695,2.84,2.29,5546.88,666452517.87,6149.26,735435424.64,3039.97,265370344.59,4142.45,357239979.93,NA
292740805060006,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,267,739,2.77,1.65,4129.69,13277852.64,4341.05,13038953.79,2432.66,9251743.1,3248.37,9705179.23,NA
292740805060007,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,349,966,2.77,2.06,3560.82,13722217.27,4315.02,13373057.46,2305.23,9678048.22,3335.93,10568321.84,NA
292740805060008,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,1,99,329,3.32,2.96,605.28,373014.04,673.29,369091.53,382.36,232655.02,595.27,235479.42,NA
292740805060009,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,133,446,3.35,2.67,710.81,250984.47,750.3,235173.49,455.97,299764.04,668.64,297370.41,NA
292740805060010,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,240,549,2.29,1.21,1832.41,1966928.5,2055.04,1747362.01,1363.89,1897249.61,1860.84,1663165.62,NA
292740805060011,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,264,802,3.04,2.48,730.2,416991.98,868.34,375739.06,526.94,362283.82,801.26,331015.96,NA
292740805060012,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,177,601,3.4,2.97,714.36,343647.29,831.86,302157.53,431.23,262962.4,732.25,225979.49,NA
292740805060013,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,254,787,3.1,3.29,582.21,242610.32,714.41,203065.13,394.21,207420.98,658.9,172206.21,NA
292740805060014,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,1,223,715,3.21,2.32,674.93,287116.37,756.33,260043.67,467.65,264857.19,693.61,236033.32,NA
292740805060015,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,1,306,954,3.12,2.96,533.28,378019.63,688.54,381187.27,440.11,282143.62,680.94,272524.5,NA
292740805060016,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,1,394,1270,3.22,2.84,529.8,279639.72,621.25,271069.61,392.23,197426.66,588.88,180581.45,NA
292740805060017,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,266,886,3.33,4.08,647.98,222561.52,712.25,198764.23,383.74,182831.8,611.32,152074.58,NA
292740805060018,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,277,864,3.12,2.46,731.2,372465.76,794.29,354422.46,458.83,278460.54,696.85,257005.88,NA
292740805060019,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,1,176,615,3.49,3.06,492.35,114817.48,577.69,85222.06,318.91,109154.51,539.93,65330.99,NA
292740805060020,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,274,853,3.11,2.61,590.97,420696.85,729.4,418260.35,463.96,291071.3,688.33,277364.74,NA
292740805060021,2,Região Nordeste,29,Bahia,2905,Metropolitana de Salvador,29021,Salvador,15,RM Salvador,2927408,SALVADOR,292740805,SALVADOR,29274080506,AMARALINA,2927408000,SALVADOR (todos os setores),1,0,310,1055,3.4,2.85,648.32,327395.87,720.35,311826.79,406.69,228801.52,636.65,211743.21,NA
