,Seu ingresso no curso de graduação se deu por meio de políticas de ação afirmativa ou inclusão social?,"Qual a renda total de sua família, incluindo seus rendimentos?",Quem lhe deu maior incentivo para cursar a graduação?,Alguém em sua família concluiu um curso superior?,Até que etapa de escolarização sua mãe concluiu?,Até que etapa de escolarização seu pai concluiu?,qtd
142,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),99
381,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino médio,Ensino Médio,96
895,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),84
764,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Pais,Sim,Ensino Superior - Graduação,Ensino Superior - Graduação,81
596,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino médio,Ensino Médio,81
165,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),80
363,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino Superior - Graduação,Ensino Médio,77
580,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino Superior - Graduação,Ensino Médio,70
364,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino Superior - Graduação,Ensino Superior - Graduação,70
458,Não,"De 10 a 30 salários mínimos (R$ 9370,01 a R$ 28.110,00).",Pais,Sim,Ensino Superior - Graduação,Ensino Superior - Graduação,67
581,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino Superior - Graduação,Ensino Superior - Graduação,65
679,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Pais,Sim,Ensino Superior - Graduação,Ensino Superior - Graduação,64
917,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),55
367,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),54
178,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino médio,Ensino Médio,50
763,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Pais,Sim,Ensino Superior - Graduação,Ensino Médio,49
382,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino médio,Ensino Superior - Graduação,48
153,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Ensino médio,Ensino Médio,46
49,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Ninguém,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),45
161,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino Superior - Graduação,Ensino Médio,45
605,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Pós-graduação,Ensino Médio,42
146,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Nenhuma,42
355,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Ensino médio,Ensino Médio,41
574,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Não,Ensino médio,Ensino Médio,40
694,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Pais,Sim,Ensino médio,Ensino Médio,40
782,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Pais,Sim,Pós-graduação,Pós-graduação,40
344,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),40
1103,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino médio,Ensino Médio,39
391,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Pós-graduação,Ensino Médio,37
176,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),37
379,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),37
179,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino médio,Ensino Superior - Graduação,36
380,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino médio,Ensino Fundamental: 6º ao 9º ano (5ª a 8ª série),35
171,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),34
472,Não,"De 10 a 30 salários mínimos (R$ 9370,01 a R$ 28.110,00).",Pais,Sim,Pós-graduação,Pós-graduação,34
929,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Sim,Ensino médio,Ensino Médio,33
678,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Pais,Sim,Ensino Superior - Graduação,Ensino Médio,33
597,Não,"De 3 a 4,5 salários mínimos (R$ 2811,01 a R$ 4.216,50).",Pais,Sim,Ensino médio,Ensino Superior - Graduação,33
147,Não,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Ensino fundamental: 6º ao 9º ano (5ª a 8ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),33
471,Não,"De 10 a 30 salários mínimos (R$ 9370,01 a R$ 28.110,00).",Pais,Sim,Pós-graduação,Ensino Superior - Graduação,31
1091,Sim,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Sim,Ensino fundamental: 1º ao 5º ano (1ª a 4ª série),Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),30
906,Sim,"Até 1,5 salário mínimo (até R$ 1405,50).",Pais,Não,Ensino médio,Ensino Médio,30
353,Não,"De 1,5 a 3 salários mínimos (R$ 1405,51 a R$ 2.811,00).",Pais,Não,Ensino médio,Ensino Fundamental: 1º ao 5º ano (1ª a 4ª série),29
776,Não,"De 6 a 10 salários mínimos (R$ 5 622,01 a R$ 9.370,00).",Pais,Sim,Ensino médio,Ensino Superior - Graduação,29
701,Não,"De 4,5 a 6 salários mínimos (R$ 4216,51 a R$ 5.622,00).",Pais,Sim,Pós-graduação,Ensino Superior - Graduação,28
