,country,PDI,IDV,MAS,UAI,num_u,num_q,num_a,num_tp_c,num_tp_e,perc_a,perc_q,perc_tp_c,perc_tp_e,GNI,Internet,EPI,WVS
0,Argentina,49,46,56,86,2798,3.09968800048456,5.28835795591733,9.23163906144364,4.4158179190225795,0.535739814152966,0.52108649035025,0.25339528234453196,0.09256611865618301,Não Informado,51.0,59.02,0.38
1,Australia,36,90,61,51,12313,3.75023303208501,7.01761734152984,11.5048129604383,4.411496578959,0.6133354990660279,0.5897831560139689,0.333955981482985,0.146999106635264,59570.0,79.5,Não Informado,1.75
2,Austria,11,55,79,70,2518,3.72815081174356,6.94481496762025,11.2031198803772,5.71954486120862,0.631056393963463,0.593328038125496,0.35027799841143803,0.149324861000794,48160.0,79.8,63.21,1.43
3,Bangladesh,80,20,55,60,2558,3.2826443446755404,4.96505467499787,8.93277424446283,6.434184636552151,0.39288506645816995,0.47576231430805294,0.159890539483972,0.0805316653635653,840.0,5.0,Não Informado,-0.93
4,Belgium,65,75,54,94,4275,3.7954460600673903,6.54306104304666,11.4395789451129,4.7640572552288205,0.6081871345029239,0.608888888888889,0.32023391812865504,0.146666666666667,44990.0,78.0,61.21,1.13
5,Brazil,69,38,49,76,10717,2.99348023551938,4.21282701522329,7.63516893545966,3.7077270922431405,0.48269105160026093,0.46580199682747,0.20388168330689602,0.0835121769151815,11630.0,45.0,49.96,0.81
6,Bulgaria,70,30,40,85,1463,3.62213853169357,6.73436504135605,11.480843390629499,5.060310759541,0.568010936431989,0.514012303485988,0.286397812713602,0.114832535885167,6870.0,51.0,Não Informado,-1.01
7,Canada,39,80,52,48,17591,3.8259366830763595,6.561699937841389,10.6567399995444,4.64391530239305,0.601500767437894,0.598772099368996,0.328406571542266,0.134727985901882,50970.0,83.0,Não Informado,1.91
8,Chile,63,23,28,86,1075,2.83516142776546,4.350970018679741,7.01431152928966,3.8685381498410396,0.48372093023255797,0.484651162790698,0.210232558139535,0.0762790697674419,14280.0,52.3,48.75,0.0
9,China,80,20,66,30,13401,2.60580925106181,3.03929654708088,5.2295431037215305,3.0540479557829703,0.35571972240877503,0.363107230803671,0.10782777404671302,0.029773897470337995,5680.0,38.3,50.15,-1.16
10,Colombia,67,13,64,80,1224,2.93569798111175,3.728968978132,6.68945365112418,2.9536504369613397,0.4779411764705879,0.49673202614379103,0.17156862745098003,0.059640522875817,6990.0,40.4,48.54,0.6
11,Costa Rica,35,15,21,86,431,3.0975486773563397,4.06702736369337,6.85184624787951,5.887652927836901,0.487238979118329,0.489559164733179,0.201856148491879,0.0580046403712297,8740.0,42.1,48.53,Não Informado
