,country,PDI,IDV,MAS,UAI,num_u,num_q,num_a,num_tp_c,num_tp_e,perc_a,perc_q,perc_tp_c,perc_tp_e,GNI,Internet,EPI,WVS
0,Argentina,49,46,56,86,561,2.1430997787702597,1.9125624439000202,3.26934946379532,1.51900643326794,0.24598930481283401,0.267379679144385,0.22994652406417102,0.0338680926916221,Não Informado,51.0,59.02,0.38
1,Australia,36,90,61,51,3297,1.91150924266051,2.32717265051683,2.92194397069396,2.08857417537429,0.326963906581741,0.311191992720655,0.314225053078556,0.0464058234758872,59570.0,79.5,Não Informado,1.75
2,Austria,11,55,79,70,667,1.63115625056059,2.27272271091625,2.6302473636041404,2.32946197546352,0.274362818590705,0.26986506746626704,0.27886056971514195,0.047976011994003004,48160.0,79.8,63.21,1.43
3,Bangladesh,80,20,55,60,363,1.78289940868596,1.86993856506637,2.64223166901598,2.03555795706657,0.12121212121212101,0.22038567493112898,0.15426997245179097,0.0247933884297521,840.0,5.0,Não Informado,-0.93
4,Belgium,65,75,54,94,1100,1.9622749882183799,2.15491713825221,3.33920867450161,2.23409226243312,0.300909090909091,0.322727272727273,0.28545454545454496,0.0481818181818182,44990.0,78.0,61.21,1.13
5,Brazil,69,38,49,76,2017,1.72087718002069,1.9062093788524601,2.7075119153756297,2.72867727669973,0.19533961328706,0.21814576103123498,0.19732275656916198,0.0252850768468022,11630.0,45.0,49.96,0.81
6,Bulgaria,70,30,40,85,335,1.81004432228118,1.9514634774650201,2.72924517836524,1.10408951367381,0.247761194029851,0.247761194029851,0.21492537313432802,0.0208955223880597,6870.0,51.0,Não Informado,-1.01
7,Canada,39,80,52,48,4657,1.97668768935285,2.5216613817296203,3.3399238228047206,2.6971906719516,0.311573974661799,0.319519003650419,0.312432896714623,0.0502469400901868,50970.0,83.0,Não Informado,1.91
8,Chile,63,23,28,86,214,2.12116584607389,2.06148218975948,2.9924165088756203,2.7526106280837297,0.25233644859813104,0.257009345794392,0.23364485981308397,0.0420560747663551,14280.0,52.3,48.75,0.0
9,China,80,20,66,30,1359,1.75924262914426,1.5946120921353701,2.3247003728989704,1.91238071840934,0.17880794701986802,0.231052244297277,0.164091243561442,0.0183958793230316,5680.0,38.3,50.15,-1.16
