"","gender","publisher","year","et_1","n"
"1","Feminino","AAAI",2010,"Africans",1
"2","Feminino","AAAI",2010,"British",18
"3","Feminino","AAAI",2010,"EastEuropean",5
"4","Feminino","AAAI",2010,"GreaterEastAsian",16
"5","Feminino","AAAI",2010,"IndianSubContinent",6
"6","Feminino","AAAI",2010,"Jewish",15
"7","Feminino","AAAI",2010,"Muslim",4
"8","Feminino","AAAI",2010,"WestEuropean",15
"9","Feminino","AAAI",2011,"Africans",5
"10","Feminino","AAAI",2011,"British",22
"11","Feminino","AAAI",2011,"EastEuropean",5
"12","Feminino","AAAI",2011,"GreaterEastAsian",25
"13","Feminino","AAAI",2011,"IndianSubContinent",10
"14","Feminino","AAAI",2011,"Jewish",18
"15","Feminino","AAAI",2011,"Muslim",15
"16","Feminino","AAAI",2011,"WestEuropean",19
"17","Feminino","AAAI",2013,"British",5
"18","Feminino","AAAI",2013,"EastEuropean",4
"19","Feminino","AAAI",2013,"GreaterEastAsian",15
"20","Feminino","AAAI",2013,"IndianSubContinent",2
"21","Feminino","AAAI",2013,"Jewish",16
"22","Feminino","AAAI",2013,"Muslim",4
"23","Feminino","AAAI",2013,"WestEuropean",5
"24","Feminino","AAAI",2014,"Africans",1
"25","Feminino","AAAI",2014,"British",4
"26","Feminino","AAAI",2014,"EastEuropean",2
"27","Feminino","AAAI",2014,"GreaterEastAsian",5
"28","Feminino","AAAI",2014,"IndianSubContinent",2
"29","Feminino","AAAI",2014,"Jewish",4
"30","Feminino","AAAI",2014,"Muslim",4
"31","Feminino","AAAI",2014,"WestEuropean",2
"32","Feminino","AAAI Press",2010,"British",16
"33","Feminino","AAAI Press",2010,"EastEuropean",7
"34","Feminino","AAAI Press",2010,"GreaterEastAsian",85
"35","Feminino","AAAI Press",2010,"IndianSubContinent",9
"36","Feminino","AAAI Press",2010,"Jewish",15
"37","Feminino","AAAI Press",2010,"Muslim",7
"38","Feminino","AAAI Press",2010,"WestEuropean",23
"39","Feminino","AAAI Press",2011,"Africans",2
"40","Feminino","AAAI Press",2011,"British",34
"41","Feminino","AAAI Press",2011,"EastEuropean",7
"42","Feminino","AAAI Press",2011,"GreaterEastAsian",74
"43","Feminino","AAAI Press",2011,"IndianSubContinent",14
"44","Feminino","AAAI Press",2011,"Jewish",22
